LocationID,Category,ItemCode,MonthlyTargetUnits,UnitPrice,CurrentStockUnits
LOC-Delta,Sports,ITM-2237,1347,398.33,1584
LOC-Delta,Toys,ITM-5558,1472,468.49,907
LOC-Delta,Home & Garden,ITM-1040,1829,388.2,2059
LOC-Delta,Home & Garden,ITM-2037,1679,269.54,679
LOC-Delta,Apparel,ITM-9105,599,164.82,297
LOC-Beta,Toys,ITM-8951,1664,175.15,1756
LOC-Alpha,Electronics,ITM-2631,1332,393.03,990
LOC-Alpha,Apparel,ITM-8230,984,5.33,1418
LOC-Beta,Apparel,ITM-5945,375,437.84,497
LOC-Alpha,Home & Garden,ITM-5102,218,189.06,297
LOC-Beta,Electronics,ITM-7493,1331,156.23,1436
LOC-Beta,Sports,ITM-2494,1491,52.12,594
LOC-Alpha,Apparel,ITM-4705,1113,341.59,125
LOC-Gamma,Electronics,ITM-7919,1471,70.43,292
LOC-Delta,Electronics,ITM-2678,261,160.11,348
LOC-Beta,Sports,ITM-3181,1363,496.51,408
LOC-Alpha,Toys,ITM-3688,951,178.84,378
LOC-Beta,Sports,ITM-8248,1811,112.54,2454
LOC-Beta,Electronics,ITM-7291,769,481.81,415
LOC-Beta,Apparel,ITM-5537,1370,46.7,1198
LOC-Gamma,Electronics,ITM-5942,470,261.29,382
LOC-Delta,Home & Garden,ITM-1894,1655,449.47,2377
LOC-Delta,Sports,ITM-2847,543,252.29,505
LOC-Alpha,Home & Garden,ITM-6185,320,196.48,407
LOC-Delta,Home & Garden,ITM-9951,1448,90.52,1099
